trigger_team,2up_triggered,comeback_occurred
Coventry,False,False
Plymouth,False,False
Hull,True,False
Rotherham,False,False
Middlesbrough,True,False
Preston,False,False
QPR,True,False
Stoke,False,False
Watford,False,False
Norwich,False,False
Blackburn,True,False
Birmingham,False,False
Leeds,True,False
Swansea,False,False
Sheffield Weds,False,False
Leicester,False,False
Southampton,False,False
Bristol City,False,False
Sunderland,False,False
Huddersfield,False,False
Ipswich,True,False
Millwall,False,False
Preston,False,False
QPR,True,False
West Brom,False,False
Leicester,False,False
Birmingham,False,False
Rotherham,False,False
Hull,False,False
Watford,False,False
Ipswich,False,False
Coventry,False,False
Leeds,False,False
Middlesbrough,False,False
Millwall,False,False
Sunderland,False,False
Plymouth,False,False
Stoke,False,False
Sheffield Weds,True,False
Blackburn,False,False
Southampton,True,False
Cardiff,False,False
Swansea,False,False
Huddersfield,False,False
Bristol City,False,False
Norwich,False,False
Coventry,True,False
Birmingham,False,False
Blackburn,False,False
Leeds,True,False
Sunderland,False,False
West Brom,False,False
Cardiff,False,False
Millwall,False,False
Huddersfield,False,False
Bristol City,False,False
Leicester,True,False
Plymouth,False,False
Middlesbrough,False,False
Ipswich,True,False
Norwich,False,False
Preston,False,False
QPR,True,False
Hull,False,False
Rotherham,False,False
Swansea,False,False
Stoke,False,False
Sheffield Weds,False,False
Watford,False,False
Southampton,False,False
Blackburn,False,False
Bristol City,False,False
Huddersfield,False,False
Preston,True,False
Rotherham,False,False
West Brom,True,False
Stoke,False,False
Swansea,False,False
Watford,False,False
Ipswich,False,False
Sunderland,False,False
Leeds,False,False
Cardiff,False,False
Birmingham,False,False
Coventry,False,False
Southampton,False,False
Leicester,False,False
Millwall,False,False
Norwich,True,False
Sheffield Weds,False,False
QPR,False,False
Plymouth,False,False
Middlesbrough,False,False
Hull,False,False
Ipswich,False,False
Norwich,False,False
Bristol City,False,False
Sunderland,False,False
Hull,True,False
Cardiff,False,False
Leeds,False,False
Coventry,False,False
Millwall,False,False
Huddersfield,False,False
Plymouth,False,False
Rotherham,False,False
Preston,False,False
Watford,True,False
Sheffield Weds,False,False
QPR,False,False
Southampton,True,False
Blackburn,False,False
Swansea,False,False
Middlesbrough,False,False
West Brom,False,False
Stoke,False,False
Birmingham,False,False
Leicester,False,False
Bristol City,False,False
Hull,False,False
Swansea,False,False
Preston,False,False
Leeds,True,False
Ipswich,False,False
Blackburn,False,False
Watford,False,False
Leicester,True,False
Rotherham,False,False
Middlesbrough,False,False
West Brom,False,False
Norwich,True,False
Huddersfield,False,False
Plymouth,False,False
Birmingham,False,False
QPR,False,False
Southampton,False,False
Sheffield Weds,False,False
Cardiff,False,False
Stoke,False,False
Millwall,False,False
Sunderland,False,False
Coventry,True,False
Preston,False,False
Leeds,False,False
Millwall,True,False
QPR,False,False
Cardiff,False,False
Plymouth,False,False
Coventry,True,False
Sheffield Weds,False,False
Huddersfield,True,False
Blackburn,False,False
Hull,False,False
Sunderland,False,False
Rotherham,False,False
Middlesbrough,False,False
Southampton,True,False
Swansea,False,False
Watford,False,False
